ProductID,Category,ProductName,Price_EUR,Cost_EUR
PRD-0001,Bekleidung,Bekleidung Artikel 1,23.25,14.36
PRD-0002,Elektronik,Elektronik Artikel 2,197.68,132.3
PRD-0003,Bekleidung,Bekleidung Artikel 3,96.76,66.81
PRD-0004,Bekleidung,Bekleidung Artikel 4,48.42,26.55
PRD-0005,Bekleidung,Bekleidung Artikel 5,92.96,45.1
PRD-0006,Sport,Sport Artikel 6,33.74,17.65
PRD-0007,Bekleidung,Bekleidung Artikel 7,118.64,77.37
PRD-0008,Sport,Sport Artikel 8,43.92,28.7
PRD-0009,Haushalt,Haushalt Artikel 9,52.49,30.76
PRD-0010,Haushalt,Haushalt Artikel 10,216.45,112.31
PRD-0011,Bekleidung,Bekleidung Artikel 11,114.87,61.93
PRD-0012,Sport,Sport Artikel 12,21.7,13.28
PRD-0013,Haushalt,Haushalt Artikel 13,157.02,76.72
PRD-0014,Bekleidung,Bekleidung Artikel 14,105.96,49.6
PRD-0015,Bekleidung,Bekleidung Artikel 15,131.19,57.73
PRD-0016,Sport,Sport Artikel 16,38.63,19.67
PRD-0017,Haushalt,Haushalt Artikel 17,65.78,39.04
PRD-0018,Haushalt,Haushalt Artikel 18,184.4,91.27
PRD-0019,Bekleidung,Bekleidung Artikel 19,99.19,64.34
PRD-0020,Elektronik,Elektronik Artikel 20,214.38,125.66
PRD-0021,Elektronik,Elektronik Artikel 21,579.23,259.0
PRD-0022,Bekleidung,Bekleidung Artikel 22,49.78,34.37
PRD-0023,Haushalt,Haushalt Artikel 23,118.26,80.43
PRD-0024,Haushalt,Haushalt Artikel 24,76.78,42.25
PRD-0025,Sport,Sport Artikel 25,27.14,17.86
PRD-0026,Haushalt,Haushalt Artikel 26,194.34,111.06
PRD-0027,Sport,Sport Artikel 27,45.77,18.34
PRD-0028,Elektronik,Elektronik Artikel 28,456.67,307.21
PRD-0029,Bekleidung,Bekleidung Artikel 29,131.94,86.31
PRD-0030,Elektronik,Elektronik Artikel 30,654.46,375.24
PRD-0031,Bekleidung,Bekleidung Artikel 31,70.02,36.5
PRD-0032,Sport,Sport Artikel 32,59.97,24.51
PRD-0033,Bekleidung,Bekleidung Artikel 33,108.44,72.18
PRD-0034,Haushalt,Haushalt Artikel 34,199.09,119.05
PRD-0035,Haushalt,Haushalt Artikel 35,125.65,70.85
PRD-0036,Haushalt,Haushalt Artikel 36,243.82,114.94
PRD-0037,Bekleidung,Bekleidung Artikel 37,133.17,81.3
PRD-0038,Elektronik,Elektronik Artikel 38,206.99,97.54
PRD-0039,Bekleidung,Bekleidung Artikel 39,97.86,54.16
PRD-0040,Bekleidung,Bekleidung Artikel 40,140.78,61.43
PRD-0041,Haushalt,Haushalt Artikel 41,82.68,51.9
PRD-0042,Bekleidung,Bekleidung Artikel 42,31.13,17.25
PRD-0043,Bekleidung,Bekleidung Artikel 43,147.14,79.48
PRD-0044,Elektronik,Elektronik Artikel 44,189.87,105.84
PRD-0045,Elektronik,Elektronik Artikel 45,285.54,125.14
PRD-0046,Sport,Sport Artikel 46,96.97,40.86
PRD-0047,Elektronik,Elektronik Artikel 47,599.06,347.64
PRD-0048,Haushalt,Haushalt Artikel 48,126.38,68.84
PRD-0049,Bekleidung,Bekleidung Artikel 49,52.23,35.56
PRD-0050,Bekleidung,Bekleidung Artikel 50,96.48,60.88
