OrderID,OrderDate,DeliveryDate,CustomerID,ProductID,LogisticsProvider,ShippingCost_EUR,IsReturned,ReturnReason
ORD-000001,2023-10-27,2023-10-30,ec8528237f6f,PRD-0001,DHL,4.42,0,
ORD-000002,2023-01-31,2023-02-01,77ad1e6df746,PRD-0003,Hermes,4.36,1,Gefällt nicht
ORD-000003,2023-12-18,2023-12-21,437c0fbd875f,PRD-0047,DPD,6.64,0,
ORD-000004,2023-05-25,2023-05-26,20ec997f0456,PRD-0027,DHL,4.92,1,Zu spät geliefert
ORD-000005,2023-10-29,2023-10-30,fd7902f1976a,PRD-0030,DPD,7.44,0,
ORD-000006,2023-11-17,2023-11-24,7320f3ffb41e,PRD-0004,Hermes,5.65,1,Passt nicht
ORD-000007,2023-04-27,2023-04-29,d83e23745063,PRD-0028,DHL,7.0,0,
ORD-000008,2023-12-09,2023-12-10,3e4e37d748aa,PRD-0029,DPD,7.38,1,Passt nicht
ORD-000009,2023-11-13,2023-11-14,050be106f190,PRD-0049,DHL,5.43,0,
ORD-000010,2023-04-03,2023-04-04,968238901c07,PRD-0026,DHL,7.44,0,
ORD-000011,2023-08-29,2023-08-31,c4c7cda08897,PRD-0030,Hermes,6.63,0,
ORD-000012,2023-01-13,2023-01-19,b8710bcabf47,PRD-0046,Hermes,5.82,0,
ORD-000013,2023-04-19,2023-04-21,bbd2ef18044f,PRD-0004,DPD,5.51,1,Gefällt nicht
ORD-000014,2023-04-11,2023-04-12,b5a6aad762bb,PRD-0034,DHL,3.82,0,
ORD-000015,2023-07-30,2023-07-31,52c6914ee471,PRD-0005,DPD,4.44,0,
ORD-000016,2023-08-11,2023-08-14,fcf9005f1b56,PRD-0037,DHL,5.98,0,
ORD-000017,2023-12-21,2023-12-24,f8a89c4399b2,PRD-0043,DPD,7.24,0,
ORD-000018,2023-01-14,2023-01-16,e61839c34145,PRD-0043,DPD,4.02,1,Gefällt nicht
ORD-000019,2023-08-16,2023-08-18,7515db680360,PRD-0020,Hermes,3.54,0,
ORD-000020,2023-03-29,2023-03-30,95d6261eb033,PRD-0037,DHL,5.52,0,
ORD-000021,2023-03-09,2023-03-10,437c0fbd875f,PRD-0023,DHL,4.13,0,
ORD-000022,2023-12-16,2023-12-18,5c1b6063f020,PRD-0035,DPD,7.45,0,
ORD-000023,2023-03-02,2023-03-05,697c1ac3f17c,PRD-0034,DHL,4.7,0,
ORD-000024,2023-05-16,2023-05-18,49b1338338e7,PRD-0007,DHL,6.47,1,Passt nicht
ORD-000025,2023-03-16,2023-03-25,0d662469e248,PRD-0018,Hermes,6.04,1,Zu spät geliefert
ORD-000026,2023-04-07,2023-04-09,d1955254241e,PRD-0033,Hermes,3.87,0,
ORD-000027,2023-03-22,2023-03-23,a0c275e24da4,PRD-0018,DHL,4.02,0,
ORD-000028,2023-03-09,2023-03-12,0a872da2b2c2,PRD-0017,DHL,6.32,0,
ORD-000029,2023-01-03,2023-01-04,7d13cf616dd9,PRD-0001,DHL,6.26,0,
ORD-000030,2023-03-07,2023-03-09,23dfee58d4b8,PRD-0035,DHL,4.09,0,
ORD-000031,2023-04-06,2023-04-08,decdd395c69b,PRD-0003,Hermes,6.94,0,
ORD-000032,2023-05-19,2023-05-22,2120a826ced3,PRD-0023,DHL,3.91,0,
ORD-000033,2023-01-27,2023-01-30,f5bd06ab835b,PRD-0036,Hermes,4.45,0,
ORD-000034,2023-01-16,2023-01-23,cbfba0028956,PRD-0012,Hermes,5.15,0,
ORD-000035,2023-03-01,2023-03-03,0907e2f4a507,PRD-0048,DHL,6.31,0,
ORD-000036,2023-11-11,2023-11-19,45a20b0f920a,PRD-0003,Hermes,6.78,1,Zu spät geliefert
ORD-000037,2023-05-26,2023-05-27,188c9a5c1a64,PRD-0015,DHL,5.09,0,
ORD-000038,2023-12-18,2023-12-20,77a71aa76122,PRD-0005,Hermes,7.42,0,
ORD-000039,2023-09-11,2023-09-12,140a54e27a67,PRD-0022,DHL,4.54,0,
ORD-000040,2023-11-09,2023-11-10,1b26cbe1582a,PRD-0017,DHL,4.88,0,
ORD-000041,2023-05-09,2023-05-12,91d7c560befb,PRD-0021,Hermes,4.26,1,Falscher Artikel
ORD-000042,2023-05-14,2023-05-15,c254fe7df2af,PRD-0046,Hermes,6.25,0,
ORD-000043,2023-11-28,2023-12-01,871f8b4139ea,PRD-0048,DPD,5.23,0,
ORD-000044,2023-01-24,2023-01-31,9f99f9396b9c,PRD-0043,Hermes,4.7,0,
ORD-000045,2023-02-14,2023-02-16,1da2036bf2d8,PRD-0043,Hermes,4.27,1,Passt nicht
ORD-000046,2023-08-29,2023-09-01,ab21903e68c6,PRD-0025,DPD,5.96,0,
ORD-000047,2023-12-10,2023-12-11,b50fdc718ebc,PRD-0026,DPD,4.34,0,
ORD-000048,2023-10-11,2023-10-14,bdde9cfbebaf,PRD-0038,DPD,5.27,0,
ORD-000049,2023-03-29,2023-03-31,8716ef4cd079,PRD-0014,DPD,7.34,0,
