OrderID,OrderDate,DeliveryDate,CustomerID,ProductID,LogisticsProvider,ShippingCost_EUR,IsReturned,ReturnReason
ORD-000344,2023-10-03,2023-10-06,e813fca4c6e1,PRD-0011,Hermes,-6.37,0,
ORD-000464,2023-03-31,2023-04-03,d145218f85d8,PRD-0019,Hermes,-5.44,0,
ORD-000588,2023-06-13,2023-06-14,315eb586efc1,PRD-0004,DHL,-7.17,0,
ORD-000659,2023-06-24,2023-06-22,7e90cd9f8a38,PRD-0008,DHL,4.87,0,
ORD-000682,2023-07-01,2023-06-29,6ea077b24433,PRD-0044,Hermes,6.98,1,Zu spät geliefert
ORD-000837,2023-07-17,2023-07-20,0b3c813eeb53,PRD-0003,DPD,-4.51,0,
ORD-000921,2023-01-09,2023-01-12,3435d4a9da90,PRD-0021,Hermes,-5.64,0,
ORD-001366,2023-06-25,2023-06-27,9613928529a8,PRD-0035,DPD,-3.68,0,
ORD-001405,2023-03-09,2023-03-07,17ec06c1973a,PRD-0045,Hermes,4.82,0,
ORD-001479,2023-07-23,2023-08-01,8b9804a18cf9,PRD-0012,Hermes,-5.33,0,
ORD-001480,2023-12-03,2023-12-06,f6a34b6ae058,PRD-0043,DHL,-5.07,0,
ORD-001553,2023-08-27,2023-08-25,61e80c53c02e,PRD-0049,DHL,6.24,0,
ORD-001688,2023-02-26,2023-02-27,ec8528237f6f,PRD-0021,Hermes,-6.51,0,
ORD-001764,2023-09-13,2023-09-11,873ac5b3a73f,PRD-0028,Hermes,4.6,1,Passt nicht
ORD-002029,2023-08-28,2023-08-30,9b0b439a8f79,PRD-0047,DHL,-3.68,0,
ORD-002273,2023-03-31,2023-03-29,997decc5f01e,PRD-0048,DHL,6.55,1,Zu spät geliefert
ORD-002408,2023-07-06,2023-07-08,b4429a4861f6,PRD-0039,DPD,-4.07,0,
ORD-002530,2023-04-21,2023-04-22,e87ccbf56f42,PRD-0019,DPD,-7.04,1,Passt nicht
ORD-002609,2023-10-31,2023-11-03,ee25d0e6f8f7,PRD-0019,DPD,-7.13,1,Gefällt nicht
ORD-002614,2023-06-16,2023-06-27,0963f40945fa,PRD-0047,Hermes,-6.82,0,
